rec-id,gender,gname,fname,postcode,age,occup
rec-000-dup-0,f,eboony,capurso,2603,d,8
rec-000-org,f,ebony,capurso,2603,s,8
rec-001-dup-0,f,tars,footopoulos,2615,f,5
rec-001-org,f,tara,fotopoulos,2615,f,5
rec-002-dup-0,m,lukse,mises,2605,j,8
rec-002-org,m,luke,miles,2605,j,8
rec-003-dup-0,f,isabella,bullolk,2605,NA,4
rec-003-org,f,isabella,bullock,2605,d,4
rec-004-dup-0,f,matijse,coleman,2903,s,3
rec-004-org,f,matisse,coleman,2903,s,4
rec-005-dup-0,m,domimic,huxulev,2906,d,3
rec-005-org,m,dominic,huxley,2906,d,3
rec-006-dup-0,m,michael,h0e,2602,s,6
rec-006-org,m,michael,hope,2602,d,6
rec-007-dup-0,f,ema,flatnan,2602,f,8
rec-007-org,f,emma,flatman,2602,f,8
rec-008-dup-0,f,jacinya,wiljins,2913,a,6
rec-008-org,f,jacinta,wilkins,2913,a,6
rec-009-dup-0,f,georgis,shersiff,2611,d,4
rec-009-org,f,georgia,sherriff,2611,d,4
rec-010-dup-0,m,oliver,cahir,2913,NA,NA
rec-010-org,m,oliver,cahir,2913,f,5
rec-011-dup-0,f,lauten,reid,2904,f,1
rec-011-org,f,lauren,reid,2904,d,1
rec-012-dup-0,m,jazper,dignam,2607,NA,6
rec-012-org,m,jasper,dignam,2607,g,6
rec-013-dup-0,f,mia,mulree,2617,s,NA
rec-013-org,f,mia,mulree,2617,d,3
rec-014-dup-0,m,kabriel,spong,2603,j,7
rec-014-org,m,gabriel,spong,2603,j,8
rec-015-dup-0,m,lachlan,camppell,2906,h,2
rec-015-org,m,lachlan,campbell,2906,g,2
rec-016-dup-0,f,karly,hinchey,2602,f,2
rec-016-org,f,karli,hinchey,2602,g,2
rec-017-dup-0,m,baikley,kluzke,2906,s,6
rec-017-org,m,bailley,kluske,2906,s,6
rec-018-dup-0,f,jarah,hein-taylor,2617,a,5
rec-018-org,f,sarah,hein-taylor,2617,a,6
rec-019-dup-0,m,rilev,vincent,2905,f,8
rec-019-org,m,riley,vincent,2905,f,7
